TRACT,PCSA_City,Percent_Having_Emergency_Visit
134906,SMITHTOWN,28.8018
159512,EAST MORICHES,28.8288
190402,WESTHAMPTON BEACH,28.9017
190604,HAMPTON BAYS,28.903
145604,BAY SHORE,28.9183
112001,HUNTINGTON STATION,29.0456
111100,HUNTINGTON STATION,29.1028
146003,BAY SHORE,29.1159
158323,PORT JEFFERSON,29.1322
122601,DEER PARK,29.291
112103,SMITHTOWN,29.303
158116,PORT JEFFERSON STATION,29.3173
145704,BAY SHORE,29.5567
111506,HUNTINGTON STATION,29.5597
124601,BABYLON,29.572
158315,PORT JEFFERSON,29.6729
123202,AMITYVILLE,29.7232
147300,BAY SHORE,29.7723
135005,SMITHTOWN,29.8122
169704,RIVERHEAD,29.9189
145902,BAY SHORE,29.927
190800,SOUTHAMPTON,29.9448
158900,PATCHOGUE,29.9843
158306,PORT JEFFERSON,30.0
169800,RIVERHEAD,30.0469
122802,DEER PARK,30.0885
159204,PATCHOGUE,30.1426
147803,WEST SAYVILLE,30.2682
122502,BABYLON,30.2721
146800,BABYLON,30.4175
146403,EAST ISLIP,30.4598
159103,PATCHOGUE,30.4688
158710,SHOREHAM,30.531
158704,PORT JEFFERSON,30.61
158409,SHOREHAM,30.6944
124300,WEST BABYLON,30.7172
158712,PATCHOGUE,30.8735
158202,PORT JEFFERSON,31.0513
122403,WYANDANCH,31.0734
190705,SOUTHAMPTON,31.1295
146300,EAST ISLIP,31.2715
158403,PORT JEFFERSON,31.3253
146201,BAY SHORE,31.3636
122501,WYANDANCH,31.4079
158308,PORT JEFFERSON STATION,31.5501
158711,PORT JEFFERSON,31.5565
158104,PORT JEFFERSON STATION,31.7073
111503,HUNTINGTON STATION,31.7808
158112,PORT JEFFERSON STATION,31.8182
158401,SHOREHAM,32.0313
158708,PORT JEFFERSON,32.3009
158410,SHOREHAM,32.335
170202,SOUTHOLD,32.4074
111201,HUNTINGTON STATION,32.766
158310,PORT JEFFERSON,32.9101
158502,SMITHTOWN,32.9412
123201,AMITYVILLE,33.0357
170101,GREENPORT,33.4395
158606,PORT JEFFERSON STATION,33.4802
145804,SMITHTOWN,33.6996
159408,SHIRLEY,33.7553
123302,AMITYVILLE,33.7838
190401,RIVERHEAD,34.0996
158111,PORT JEFFERSON STATION,34.2318
147701,WEST SAYVILLE,34.4304
158103,PORT JEFFERSON STATION,34.6614
159102,PATCHOGUE,34.8214
147200,BAY SHORE,35.6223
159106,PATCHOGUE,36.8613
158705,PORT JEFFERSON,36.9318
158803,PATCHOGUE,37.0902
190706,SOUTHAMPTON,37.6623
158115,PORT JEFFERSON STATION,38.512
158319,PORT JEFFERSON STATION,40.5579
158007,PORT JEFFERSON STATION,50.6173
