TRACT,PCSA_City,All_Beneficiary_Deaths,Beneficiary_Population,Beneficiary_Deaths_Per_Capita
159108,PATCHOGUE,35,632,0.0553797468354
147300,BAY SHORE,36,646,0.0557275541796
145901,BAY SHORE,12,215,0.0558139534884
112002,HUNTINGTON STATION,48,858,0.0559440559441
145804,SMITHTOWN,18,321,0.0560747663551
147401,BAY SHORE,35,621,0.0563607085346
145701,SMITHTOWN,30,528,0.0568181818182
169901,RIVERHEAD,69,1214,0.0568369028007
145603,BAY SHORE,15,263,0.0570342205323
123202,AMITYVILLE,53,928,0.0571120689655
190504,WESTHAMPTON BEACH,18,315,0.0571428571429
158206,PORT JEFFERSON,36,630,0.0571428571429
135002,SMITHTOWN,33,577,0.0571923743501
147802,WEST SAYVILLE,31,542,0.0571955719557
159103,PATCHOGUE,17,297,0.0572390572391
159505,SHIRLEY,29,504,0.0575396825397
123102,BABYLON,21,363,0.0578512396694
110901,HUNTINGTON,22,380,0.0578947368421
158510,PORT JEFFERSON STATION,27,466,0.0579399141631
135101,SMITHTOWN,27,463,0.0583153347732
124200,LINDENHURST,36,612,0.0588235294118
123900,LINDENHURST,25,424,0.0589622641509
158710,SHOREHAM,16,271,0.0590405904059
158409,SHOREHAM,46,778,0.0591259640103
145902,BAY SHORE,19,321,0.0591900311526
158111,PORT JEFFERSON STATION,25,420,0.0595238095238
158108,PORT JEFFERSON STATION,12,201,0.0597014925373
124102,LINDENHURST,27,452,0.0597345132743
190403,HAMPTON BAYS,29,485,0.059793814433
147901,BAYPORT,37,616,0.0600649350649
111100,HUNTINGTON STATION,32,530,0.0603773584906
123701,AMITYVILLE,26,430,0.0604651162791
147001,BAY SHORE,23,380,0.0605263157895
122802,DEER PARK,23,380,0.0605263157895
158708,PORT JEFFERSON,16,264,0.0606060606061
123301,AMITYVILLE,30,494,0.0607287449393
110502,HUNTINGTON,24,395,0.0607594936709
158900,PATCHOGUE,45,736,0.0611413043478
159105,PATCHOGUE,42,684,0.0614035087719
134702,SMITHTOWN,57,928,0.0614224137931
158401,SHOREHAM,18,293,0.061433447099
122404,WEST BABYLON,15,243,0.0617283950617
158309,PORT JEFFERSON,25,404,0.0618811881188
158507,PORT JEFFERSON STATION,18,290,0.0620689655172
111701,NORTHPORT,43,688,0.0625
158803,PATCHOGUE,34,541,0.0628465804067
158410,SHOREHAM,109,1732,0.0629330254042
158512,SMITHTOWN,18,285,0.0631578947368
158407,PORT JEFFERSON,22,346,0.0635838150289
146003,BAY SHORE,48,754,0.0636604774536
122602,DEER PARK,31,486,0.0637860082305
159508,SHIRLEY,31,486,0.0637860082305
145702,BAY SHORE,21,329,0.063829787234
123401,LINDENHURST,15,235,0.063829787234
123402,LINDENHURST,35,546,0.0641025641026
146800,BABYLON,37,576,0.0642361111111
158711,PORT JEFFERSON,36,558,0.0645161290323
146404,EAST ISLIP,14,217,0.0645161290323
122705,DEER PARK,20,310,0.0645161290323
190706,SOUTHAMPTON,49,756,0.0648148148148
146002,BAY SHORE,15,231,0.0649350649351
147803,WEST SAYVILLE,37,569,0.0650263620387
158605,PORT JEFFERSON STATION,30,459,0.0653594771242
158502,SMITHTOWN,43,649,0.0662557781202
123001,WEST BABYLON,35,526,0.0665399239544
122601,DEER PARK,41,612,0.0669934640523
158115,PORT JEFFERSON STATION,69,1018,0.0677799607073
134904,SMITHTOWN,80,1170,0.0683760683761
201100,BAY SHORE,25,365,0.0684931506849
158608,SMITHTOWN,25,361,0.0692520775623
122902,WEST BABYLON,38,548,0.0693430656934
147200,BAY SHORE,37,533,0.0694183864916
169704,RIVERHEAD,104,1483,0.0701281186784
158712,PATCHOGUE,55,776,0.0708762886598
158104,PORT JEFFERSON STATION,40,561,0.0713012477718
146704,BAY SHORE,14,193,0.0725388601036
147502,EAST ISLIP,50,689,0.0725689404935
145602,BAY SHORE,22,302,0.0728476821192
123802,AMITYVILLE,23,313,0.073482428115
124300,WEST BABYLON,61,826,0.0738498789346
147702,WEST SAYVILLE,45,600,0.075
135401,SMITHTOWN,59,782,0.0754475703325
170202,SOUTHOLD,98,1289,0.0760279286268
158310,PORT JEFFERSON,80,1028,0.0778210116732
159106,PATCHOGUE,25,321,0.0778816199377
146608,WEST SAYVILLE,19,243,0.0781893004115
158319,PORT JEFFERSON STATION,41,522,0.0785440613027
147804,WEST SAYVILLE,66,821,0.0803897685749
146106,BAY SHORE,48,596,0.0805369127517
145903,BAY SHORE,34,420,0.0809523809524
124601,BABYLON,24,295,0.0813559322034
159408,SHIRLEY,23,280,0.0821428571429
190402,WESTHAMPTON BEACH,31,377,0.0822281167109
122603,BABYLON,52,629,0.0826709062003
123500,AMITYVILLE,66,795,0.0830188679245
158606,PORT JEFFERSON STATION,44,530,0.0830188679245
124402,LINDENHURST,22,260,0.0846153846154
124401,BABYLON,46,543,0.0847145488029
159204,PATCHOGUE,47,546,0.0860805860806
159102,PATCHOGUE,86,996,0.0863453815261
112103,SMITHTOWN,76,815,0.0932515337423
134704,SMITHTOWN,26,276,0.0942028985507
135005,SMITHTOWN,88,933,0.0943193997856
145605,BAY SHORE,23,236,0.0974576271186
147701,WEST SAYVILLE,47,442,0.106334841629
146902,BAY SHORE,64,598,0.107023411371
158007,PORT JEFFERSON STATION,36,179,0.201117318436
