TRACT,PCSA_City,Beneficiary_Population,Emergency_Visits_B
135401,SMITHTOWN,782,311
123500,AMITYVILLE,795,317
147502,EAST ISLIP,689,317
159410,RIVERHEAD,747,318
190708,EAST HAMPTON,746,320
145803,SMITHTOWN,832,321
158321,PORT JEFFERSON,809,326
111900,HUNTINGTON,841,330
169701,CALVERTON,896,332
110200,HUNTINGTON,854,334
190601,HAMPTON BAYS,884,335
158001,PORT JEFFERSON STATION,688,342
190401,RIVERHEAD,585,349
158002,PORT JEFFERSON STATION,1005,350
122801,DEER PARK,760,353
147300,BAY SHORE,646,356
147200,BAY SHORE,533,367
112103,SMITHTOWN,815,367
146003,BAY SHORE,754,367
158502,SMITHTOWN,649,371
190603,HAMPTON BAYS,805,373
158900,PATCHOGUE,736,375
158409,SHOREHAM,778,378
110300,HUNTINGTON,1024,379
111701,NORTHPORT,688,380
147804,WEST SAYVILLE,821,380
111801,EAST NORTHPORT,920,382
200902,EAST HAMPTON,935,382
158803,PATCHOGUE,541,383
159412,EAST MORICHES,981,385
147602,WEST SAYVILLE,983,387
135205,SMITHTOWN,759,400
134702,SMITHTOWN,928,406
112002,HUNTINGTON STATION,858,406
170001,MATTITUCK,1069,407
169800,RIVERHEAD,724,411
146606,EAST ISLIP,869,412
169902,MATTITUCK,1026,413
158306,PORT JEFFERSON,858,414
124300,WEST BABYLON,826,431
158712,PATCHOGUE,776,432
111503,HUNTINGTON STATION,808,446
158319,PORT JEFFERSON STATION,522,449
158308,PORT JEFFERSON STATION,815,455
123202,AMITYVILLE,928,456
134906,SMITHTOWN,954,460
135005,SMITHTOWN,933,464
170002,SOUTHOLD,1062,467
110600,NORTHPORT,1329,499
190800,SOUTHAMPTON,996,500
134904,SMITHTOWN,1170,500
158202,PORT JEFFERSON,942,513
158704,PORT JEFFERSON,1041,514
159601,EAST MORICHES,1089,516
190706,SOUTHAMPTON,756,547
158006,PORT JEFFERSON STATION,1166,553
112206,HUNTINGTON STATION,1284,571
169901,RIVERHEAD,1214,574
159102,PATCHOGUE,996,586
158310,PORT JEFFERSON,1028,604
112214,HUNTINGTON STATION,1955,629
158115,PORT JEFFERSON STATION,1018,670
170201,SOUTHOLD,1448,680
170202,SOUTHOLD,1289,682
169704,RIVERHEAD,1483,762
158410,SHOREHAM,1732,967
